well,Date,subsidence,tds,gwr_elev
895,12/9/15,26.41,,
895,12/8/15,33.28,,
895,12/7/15,28.59,,
895,12/6/15,22.29,,
895,12/5/15,25.89,,
895,12/4/15,27.52,,
895,12/3/15,25.99,,
895,12/2/15,20.5,,
895,12/1/15,23.3,,
895,11/30/15,22.12,,
895,11/29/15,21.57,,
895,11/28/15,18.33,,
895,11/27/15,21.34,,
895,11/26/15,21.96,,
895,11/25/15,27.58,,
895,11/24/15,32.83,,
895,11/23/15,28.64,,
895,11/22/15,28.95,,
895,11/21/15,20.37,,
895,11/20/15,24.51,,
895,11/19/15,25.48,,
895,11/18/15,31.9,,
895,11/17/15,27.67,,
895,11/16/15,22.74,,
895,11/15/15,28.11,,
895,11/14/15,26.67,,
895,11/13/15,25.89,,
895,11/12/15,24.34,,
895,11/11/15,26.79,,
895,11/10/15,33.01,,
895,11/9/15,24.88,,
895,11/8/15,27.68,,
895,11/7/15,28.68,,
895,11/6/15,29.97,,
895,11/5/15,27.07,,
895,11/4/15,31.34,,
895,11/3/15,35.32,,
895,11/2/15,24.39,,
895,11/1/15,30.67,,
895,10/31/15,34.47,,
895,10/30/15,32.69,,
895,10/29/15,37.1,,
895,10/28/15,35.2,,
895,10/27/15,30.39,,
895,10/26/15,24.63,,
895,10/25/15,34.37,,
895,10/24/15,28.64,,
895,10/23/15,24.22,,
895,10/22/15,28.35,,
895,10/21/15,25.39,,
895,10/20/15,28.29,,
895,10/19/15,29.29,,
895,10/18/15,37.07,,
895,10/17/15,23.59,,
895,10/16/15,32.12,,
895,10/15/15,24.93,,
895,10/14/15,17.22,,
895,10/13/15,25.34,,
895,10/12/15,31.78,,
895,10/11/15,32.53,,
895,10/10/15,27.87,,
895,10/9/15,31.11,,
895,10/8/15,24.95,,
895,10/7/15,22.8,,
895,10/6/15,23.37,,
895,10/5/15,21.79,,
895,10/4/15,22.37,,
895,10/3/15,30.01,,
895,10/2/15,27.75,,
895,10/1/15,33.9,,
895,9/30/15,31.48,,
895,9/29/15,25.37,,
895,9/28/15,25.39,,
895,9/27/15,26.56,,
895,9/26/15,18.53,,
895,9/25/15,19.78,,
895,9/24/15,26.21,,
895,9/23/15,26.59,,
895,9/22/15,29.19,,
895,9/21/15,26.78,,
895,9/20/15,37.62,,
895,9/19/15,28.48,,
895,9/18/15,31.71,,
